,date,month,day,hour,minute,week,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,test_season,vacation,special_day,count
8,2018-04-01,04,01,00,00,Sunday,0,0,0,1,0,0,0,0,0,0,0
9,2018-04-01,04,01,00,00,Sunday,0,0,0,1,0,0,0,0,0,0,0
14,2018-04-01,04,01,00,00,Sunday,0,0,0,1,0,0,0,0,0,0,0
18,2018-04-01,04,01,00,00,Sunday,0,0,0,1,0,0,0,0,0,0,0
38,2018-04-01,04,01,00,00,Sunday,0,0,0,1,0,0,0,0,0,0,0
55,2018-04-01,04,01,00,00,Sunday,0,0,0,1,0,0,0,0,0,0,0
67,2018-04-01,04,01,00,00,Sunday,0,0,0,1,0,0,0,0,0,0,0
78,2018-04-01,04,01,00,00,Sunday,0,0,0,1,0,0,0,0,0,0,0
96,2018-04-01,04,01,00,00,Sunday,0,0,0,1,0,0,0,0,0,0,0
118,2018-04-01,04,01,00,00,Sunday,0,0,0,1,0,0,0,0,0,0,0
120,2018-04-01,04,01,00,00,Sunday,0,0,0,1,0,0,0,0,0,0,0
146,2018-04-01,04,01,00,00,Sunday,0,0,0,1,0,0,0,0,0,0,0
151,2018-04-01,04,01,00,00,Sunday,0,0,0,1,0,0,0,0,0,0,0
171,2018-04-01,04,01,00,00,Sunday,0,0,0,1,0,0,0,0,0,0,0
172,2018-04-01,04,01,00,00,Sunday,0,0,0,1,0,0,0,0,0,0,0
177,2018-04-01,04,01,00,00,Sunday,0,0,0,1,0,0,0,0,0,0,0
191,2018-04-01,04,01,00,00,Sunday,0,0,0,1,0,0,0,0,0,0,0
197,2018-04-01,04,01,00,00,Sunday,0,0,0,1,0,0,0,0,0,0,0
202,2018-04-01,04,01,00,00,Sunday,0,0,0,1,0,0,0,0,0,0,0
219,2018-04-01,04,01,00,00,Sunday,0,0,0,1,0,0,0,0,0,0,0
222,2018-04-01,04,01,00,00,Sunday,0,0,0,1,0,0,0,0,0,0,0
247,2018-04-01,04,01,00,00,Sunday,0,0,0,1,0,0,0,0,0,0,0
259,2018-04-01,04,01,00,00,Sunday,0,0,0,1,0,0,0,0,0,0,0
262,2018-04-01,04,01,00,00,Sunday,0,0,0,1,0,0,0,0,0,0,0
280,2018-04-01,04,01,00,00,Sunday,0,0,0,1,0,0,0,0,0,0,0
283,2018-04-01,04,01,00,00,Sunday,0,0,0,1,0,0,0,0,0,0,0
295,2018-04-01,04,01,00,00,Sunday,0,0,0,1,0,0,0,0,0,0,0
299,2018-04-01,04,01,00,00,Sunday,0,0,0,1,0,0,0,0,0,0,0
328,2018-04-01,04,01,00,00,Sunday,0,0,0,1,0,0,0,0,0,0,0
336,2018-04-01,04,01,00,00,Sunday,0,0,0,1,0,0,0,0,0,0,0
344,2018-04-01,04,01,00,00,Sunday,0,0,0,1,0,0,0,0,0,0,0
360,2018-04-01,04,01,00,00,Sunday,0,0,0,1,0,0,0,0,0,0,0
368,2018-04-01,04,01,00,00,Sunday,0,0,0,1,0,0,0,0,0,0,0
405,2018-04-01,04,01,00,00,Sunday,0,0,0,1,0,0,0,0,0,0,0
424,2018-04-01,04,01,00,00,Sunday,0,0,0,1,0,0,0,0,0,0,0
434,2018-04-01,04,01,00,00,Sunday,0,0,0,1,0,0,0,0,0,0,0
438,2018-04-01,04,01,00,00,Sunday,0,0,0,1,0,0,0,0,0,0,0
461,2018-04-01,04,01,00,00,Sunday,0,0,0,1,0,0,0,0,0,0,0
462,2018-04-01,04,01,00,00,Sunday,0,0,0,1,0,0,0,0,0,0,0
472,2018-04-01,04,01,00,00,Sunday,0,0,0,1,0,0,0,0,0,0,0
484,2018-04-01,04,01,00,00,Sunday,0,0,0,1,0,0,0,0,0,0,0
512,2018-04-01,04,01,00,00,Sunday,0,0,0,1,0,0,0,0,0,0,0
522,2018-04-01,04,01,00,00,Sunday,0,0,0,1,0,0,0,0,0,0,0
530,2018-04-01,04,01,00,00,Sunday,0,0,0,1,0,0,0,0,0,0,0
534,2018-04-01,04,01,00,00,Sunday,0,0,0,1,0,0,0,0,0,0,0
542,2018-04-01,04,01,00,00,Sunday,0,0,0,1,0,0,0,0,0,0,0
562,2018-04-01,04,01,00,00,Sunday,0,0,0,1,0,0,0,0,0,0,0
573,2018-04-01,04,01,00,00,Sunday,0,0,0,1,0,0,0,0,0,0,0
584,2018-04-01,04,01,00,00,Sunday,0,0,0,1,0,0,0,0,0,0,0
586,2018-04-01,04,01,00,00,Sunday,0,0,0,1,0,0,0,0,0,0,0
587,2018-04-01,04,01,00,00,Sunday,0,0,0,1,0,0,0,0,0,0,0
599,2018-04-01,04,01,00,00,Sunday,0,0,0,1,0,0,0,0,0,0,0
603,2018-04-01,04,01,00,00,Sunday,0,0,0,1,0,0,0,0,0,0,0
609,2018-04-01,04,01,00,00,Sunday,0,0,0,1,0,0,0,0,0,0,0
622,2018-04-01,04,01,00,00,Sunday,0,0,0,1,0,0,0,0,0,0,0
623,2018-04-01,04,01,00,00,Sunday,0,0,0,1,0,0,0,0,0,0,0
637,2018-04-01,04,01,00,00,Sunday,0,0,0,1,0,0,0,0,0,0,0
651,2018-04-01,04,01,00,00,Sunday,0,0,0,1,0,0,0,0,0,0,0
652,2018-04-01,04,01,00,00,Sunday,0,0,0,1,0,0,0,0,0,0,0
664,2018-04-01,04,01,00,00,Sunday,0,0,0,1,0,0,0,0,0,0,0
670,2018-04-01,04,01,00,00,Sunday,0,0,0,1,0,0,0,0,0,0,0
672,2018-04-01,04,01,00,00,Sunday,0,0,0,1,0,0,0,0,0,0,0
694,2018-04-01,04,01,00,00,Sunday,0,0,0,1,0,0,0,0,0,0,0
